,precision,recall,f1-score,support
218,0.8755980861244019,0.9631578947368421,0.9172932330827067,190.0
219,1.0,0.8888888888888888,0.9411764705882353,9.0
220,1.0,0.9523809523809523,0.975609756097561,21.0
221,1.0,0.9294871794871795,0.9634551495016611,156.0
222,1.0,0.967032967032967,0.9832402234636871,91.0
223,0.9407665505226481,0.9782608695652174,0.9591474245115453,276.0
224,0.8056338028169014,0.9930555555555556,0.8895800933125972,288.0
225,0.8131868131868132,0.9673202614379085,0.8835820895522388,153.0
226,0.9743589743589743,0.987012987012987,0.9806451612903225,77.0
227,1.0,1.0,1.0,1.0
228,0.9255874673629243,0.9943899018232819,0.9587559161595672,713.0
229,0.8085106382978723,0.9743589743589743,0.8837209302325582,156.0
230,0.6588021778584392,0.981081081081081,0.7882736156351792,370.0
231,0.8915492957746479,0.985981308411215,0.9363905325443787,642.0
232,0.7798708288482239,0.9870572207084468,0.8713168971737824,1468.0
233,0.905940594059406,0.9838709677419355,0.9432989690721649,372.0
234,0.954954954954955,0.9217391304347826,0.9380530973451328,115.0
235,0.9,1.0,0.9473684210526315,99.0
236,0.9824561403508771,0.9767441860465116,0.9795918367346939,172.0
237,0.8398576512455516,0.9711934156378601,0.9007633587786259,243.0
238,1.0,1.0,1.0,5.0
239,0.8184438040345822,0.9861111111111112,0.8944881889763779,288.0
240,1.0,0.9846153846153847,0.9922480620155039,65.0
241,0.6666666666666666,0.9090909090909091,0.7692307692307693,11.0
242,1.0,1.0,1.0,9.0
243,1.0,0.5,0.6666666666666666,2.0
244,0.9230769230769231,1.0,0.96,12.0
245,1.0,1.0,1.0,45.0
246,0.9661016949152542,1.0,0.9827586206896551,114.0
247,0.9886792452830189,0.9812734082397003,0.9849624060150376,267.0
248,0.9047619047619048,0.9743589743589743,0.9382716049382716,78.0
249,1.0,0.9809523809523809,0.9903846153846154,105.0
250,0.9473684210526315,1.0,0.972972972972973,18.0
251,1.0,1.0,1.0,9.0
252,0.9966887417218543,0.9933993399339934,0.9950413223140496,606.0
253,1.0,0.9583333333333334,0.9787234042553191,48.0
254,1.0,0.9861111111111112,0.993006993006993,216.0
255,1.0,0.9444444444444444,0.9714285714285714,18.0
